,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,6d,7s
59,0.19,3.1,4.57,10.9,13.2,17.7,26.142857142857142,29.02857142857143,34.8,43.52307692307692,40.599999999999994,43.72,0,50.32,0,0,0
60,0.19,3.1,4.57,10.9,13.2,17.7,26.414285714285715,29.34285714285714,35.2,44.04615384615384,41.199999999999996,44.36,0,51.29333333333333,0,0,0
61,0.19,3.1,4.57,10.9,13.2,17.7,26.685714285714287,29.657142857142855,35.6,44.56923076923077,41.8,45,0,52.266666666666666,0,0,0
62,0.19,3.1,4.57,10.9,13.2,17.7,26.95714285714286,29.971428571428568,36,45.09230769230769,42.4,45.64,0,53.24,0,0,0
63,0.19,3.1,4.57,10.9,13.2,17.7,27.228571428571428,30.285714285714285,36.4,45.61538461538461,43,46.28,0,54.21333333333333,0,0,0
64,0.19,3.1,4.57,10.9,13.2,17.7,27.5,30.599999999999998,36.8,46.138461538461534,43.599999999999994,46.92,0,55.18666666666667,0,0,0
65,0.19,3.1,4.57,10.9,13.2,17.7,27.771428571428572,30.91428571428571,37.2,46.66153846153846,44.199999999999996,47.559999999999995,0,56.16,0,0,0
66,0.19,3.1,4.57,10.9,13.2,17.7,28.042857142857144,31.228571428571428,37.6,47.184615384615384,44.8,48.199999999999996,0,57.13333333333333,0,0,0
67,0.19,3.1,4.57,10.9,13.2,17.7,28.314285714285713,31.54285714285714,38,47.707692307692305,45.4,48.839999999999996,0,58.10666666666667,0,0,0
68,0.19,3.1,4.57,10.9,13.2,17.7,28.585714285714285,31.857142857142854,38.4,48.230769230769226,46,49.48,0,59.08,0,0,0
69,0.19,3.1,4.57,10.9,13.2,17.7,28.857142857142854,32.17142857142857,38.8,48.753846153846155,46.599999999999994,50.12,0,60.053333333333335,0,0,0
70,0.19,3.1,4.57,10.9,13.2,17.7,29.128571428571426,32.48571428571428,39.2,49.276923076923076,47.199999999999996,50.76,0,61.02666666666667,0,0,0
71,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,47.8,51.4,59,62,0,0,0
72,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,48.044444444444444,51.68888888888889,59.333333333333336,62.44444444444444,0,0,0
73,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,48.288888888888884,51.977777777777774,59.666666666666664,62.888888888888886,0,0,0
74,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,48.53333333333333,52.266666666666666,60,63.333333333333336,0,0,0
75,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,48.77777777777778,52.55555555555556,60.333333333333336,63.77777777777778,0,0,0
76,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,49.02222222222222,52.84444444444444,60.666666666666664,64.22222222222223,0,0,0
77,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,49.266666666666666,53.13333333333333,61,64.66666666666667,0,0,0
78,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,49.51111111111111,53.422222222222224,61.333333333333336,65.11111111111111,0,0,0
79,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,49.75555555555555,53.71111111111111,61.666666666666664,65.55555555555556,0,0,0
80,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,66,0,0,0
81,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,66.16666666666667,71,0,0
82,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,66.33333333333333,71.2,0,0
83,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,66.5,71.4,0,0
84,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,66.66666666666667,71.6,0,0
85,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,66.83333333333333,71.8,0,0
86,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,67,72,0,0
87,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,67.16666666666667,72.16666666666667,0,80
88,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,67.33333333333333,72.33333333333333,0,80.48
89,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,67.5,72.5,81,80.96000000000001
90,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,67.66666666666667,72.66666666666667,81.33333333333333,81.44
91,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,67.83333333333333,72.83333333333333,81.66666666666667,81.92
92,0.19,3.1,4.57,10.9,13.2,17.7,29.4,32.8,39.6,49.8,50,54,62,68,73,82,82.4
