5.8729301827e-2, -8.5122992668e-4
1.7235474137e-1, 9.6666462111e-3
2.5871007543e-1, 2.2812517126e-2
3.4052039190e-1, 3.8586984555e-2
4.1778569079e-1, 6.0933123791e-2
4.8141593694e-1, 8.1964543554e-2
5.4959120066e-1, 1.0562480053e-1
6.0867642923e-1, 1.3191353367e-1
6.7685169296e-1, 1.6083122436e-1
7.4957197427e-1, 1.9237775227e-1
8.0865720283e-1, 2.2260956070e-1
8.7683246656e-1, 2.5809904355e-1
9.5409776545e-1, 3.0016055926e-1
1.0131829940e+0, 3.3433544298e-1
1.0813582577e+0, 3.7508235956e-1
1.1358984687e+0, 4.0925712294e-1
1.1995287149e+0, 4.4737520230e-1
1.2631589610e+0, 4.8680764010e-1
1.3176991720e+0, 5.2098240348e-1
1.3995094885e+0, 5.7093019012e-1
1.4676847522e+0, 6.1299146512e-1
1.5176799456e+0, 6.4716610815e-1
1.5767651742e+0, 6.8134099188e-1
1.6403954203e+0, 7.1945907125e-1
1.6994806489e+0, 7.5231959654e-1
1.7722009302e+0, 7.9175227503e-1
1.8494662291e+0, 8.3381379074e-1
1.9176414928e+0, 8.6667455673e-1
1.9858167565e+0, 9.0084968115e-1
2.0539920202e+0, 9.3108173028e-1
2.1312573191e+0, 9.6131402010e-1
2.2085226180e+0, 9.9154630992e-1
2.2903329345e+0, 1.0204643617e+0
2.3675982334e+0, 1.0454392178e+0
2.4494085499e+0, 1.0704141942e+0
2.5493989367e+0, 1.0967040105e+0
2.6721144114e+0, 1.1203657116e+0
2.7811948333e+0, 1.1374552596e+0
2.8948202729e+0, 1.1532305694e+0
2.9993556773e+0, 1.1650625633e+0
3.1038910817e+0, 1.1729514819e+0
3.2447866267e+0, 1.1782126464e+0
3.3720471190e+0, 1.1782160161e+0
3.5174876816e+0, 1.1769055088e+0
3.6947433673e+0, 1.1729671271e+0
3.8719990530e+0, 1.1664000285e+0
4.0038045629e+0, 1.1611460848e+0
4.1356100727e+0, 1.1558921412e+0
4.2674155826e+0, 1.1493238391e+0
4.4037661101e+0, 1.1480130911e+0
4.5173915496e+0, 1.1440730245e+0
4.6446520419e+0, 1.1388189605e+0
4.7537324639e+0, 1.1322500567e+0
4.8628128858e+0, 1.1204237191e+0
4.9718933078e+0, 1.1046543063e+0
5.0718836946e+0, 1.0875702944e+0
5.1582390286e+0, 1.0704859214e+0
5.2400493451e+0, 1.0534014280e+0
5.3264046792e+0, 1.0376314134e+0
5.4263950660e+0, 1.0231761184e+0
5.5309304703e+0, 1.0139783773e+0
5.6536459451e+0, 1.0074098346e+0
5.7809064373e+0, 1.0034701290e+0
5.9263470000e+0, 1.0008452633e+0
6.0899676329e+0, 1.0008495958e+0
6.9989711493e+0, 1.0008736653e+0
