2.83286e-3, 1.64069e-3
1.18980e-1, 6.56276e-3
2.40793e-1, 1.96883e-2
3.37110e-1, 3.28138e-2
4.50425e-1, 6.07055e-2
5.69405e-1, 9.35193e-2
6.71388e-1, 1.32896e-1
7.73371e-1, 1.73913e-1
8.75354e-1, 2.23134e-1
9.77337e-1, 2.73995e-1
1.08499e+0, 3.34701e-1
1.14164e+0, 3.69155e-1
1.19547e+0, 4.01969e-1
1.26629e+0, 4.51189e-1
1.32578e+0, 4.97129e-1
1.39377e+0, 5.51272e-1
1.47592e+0, 6.25103e-1
1.55807e+0, 6.94011e-1
1.62040e+0, 7.51436e-1
1.67422e+0, 7.97375e-1
1.71105e+0, 8.36751e-1
1.77620e+0, 9.02379e-1
1.82720e+0, 9.51600e-1
1.86686e+0, 9.95898e-1
1.92068e+0, 1.05496e+0
1.96884e+0, 1.10747e+0
2.00850e+0, 1.15340e+0
2.05666e+0, 1.21083e+0
2.10482e+0, 1.26497e+0
2.13881e+0, 1.30927e+0
2.19263e+0, 1.37490e+0
2.23513e+0, 1.42740e+0
2.27762e+0, 1.48154e+0
2.31728e+0, 1.53568e+0
2.35694e+0, 1.58655e+0
2.39093e+0, 1.63577e+0
2.43626e+0, 1.69811e+0
2.47875e+0, 1.75554e+0
2.51841e+0, 1.81460e+0
2.54958e+0, 1.86054e+0
2.58924e+0, 1.91632e+0
2.62040e+0, 1.96390e+0
2.64306e+0, 1.99344e+0
