4.2337002540e-3, 2.2204460493e-16
2.6443397243e-1, 2.3006964880e-2
5.2570648045e-1, 1.0034588969e-1
7.1131311624e-1, 1.7951574260e-1
9.0560454185e-1, 2.8727355898e-1
1.0751282335e+0, 3.9286253734e-1
1.2301438853e+0, 4.9905129270e-1
1.3786494294e+0, 6.0592773373e-1
1.5335671949e+0, 7.1703318167e-1
1.6869991125e+0, 8.2402046117e-1
1.8075455091e+0, 9.0306570484e-1
1.9600268450e+0, 9.8668715331e-1
2.0968955438e+0, 1.0664616073e+0
2.3135687586e+0, 1.1513789422e+0
2.5263496367e+0, 1.2004595172e+0
2.7167242742e+0, 1.2209370036e+0
2.9109584634e+0, 1.2190514362e+0
3.1072271451e+0, 1.1985181271e+0
3.3034958268e+0, 1.1570734502e+0
3.4997645085e+0, 1.1027984087e+0
3.6960331902e+0, 1.0511934063e+0
3.8923018718e+0, 1.0202162277e+0
4.0885705535e+0, 1.0092052702e+0
4.2812489544e+0, 1.0071828042e+0
4.4795591683e+0, 1.0044670281e+0
4.6821636396e+0, 1.0032209172e+0
4.8677535375e+0, 1.0012187817e+0
4.9915325995e+0, 1.0007343941e+0
