! E [eV]              E_{s} [eV]          \lambda_{s} [nm]    W_{ff} [1/eV]       W_{bf} [1/eV]       P_{s}^{ff} [Arb.]   P_{s}^{bf} [Arb.]   P_{s}^{el} [Arb.]   P_{s} [Arb.]      
  4.000000000E+003,   1.600000000E+004,   7.749011611E-002,   5.094347425E-008,   6.137277456E-007,   5.008542688E-008,   6.031793776E-007,   0.000000000E+000,   6.532648045E-007
  3.999499969E+003,   1.600050003E+004,   7.748769447E-002,   5.114099204E-008,   6.143056903E-007,   5.198023528E-008,   6.242230642E-007,   0.000000000E+000,   6.762032995E-007
  3.998999937E+003,   1.600100006E+004,   7.748527298E-002,   5.133924050E-008,   6.148842584E-007,   5.379617600E-008,   6.443111464E-007,   0.000000000E+000,   6.981073224E-007
  3.998499906E+003,   1.600150009E+004,   7.748285164E-002,   5.153822219E-008,   6.154634508E-007,   5.400428691E-008,   6.449178715E-007,   0.000000000E+000,   6.989221585E-007
  3.997999875E+003,   1.600200013E+004,   7.748043045E-002,   5.173793968E-008,   6.160432680E-007,   5.421267289E-008,   6.455248022E-007,   0.000000000E+000,   6.997374751E-007
  3.997499844E+003,   1.600250016E+004,   7.747800942E-002,   5.193839555E-008,   6.166237110E-007,   5.442372518E-008,   6.461337247E-007,   0.000000000E+000,   7.005574499E-007
  3.996999812E+003,   1.600300019E+004,   7.747558853E-002,   5.213959238E-008,   6.172047803E-007,   5.463479152E-008,   6.467426987E-007,   0.000000000E+000,   7.013774903E-007
  3.996499781E+003,   1.600350022E+004,   7.747316780E-002,   5.234153277E-008,   6.177864769E-007,   5.484594394E-008,   6.473519881E-007,   0.000000000E+000,   7.021979320E-007
  3.995999750E+003,   1.600400025E+004,   7.747074721E-002,   5.254421932E-008,   6.183688015E-007,   5.505764600E-008,   6.479616889E-007,   0.000000000E+000,   7.030193349E-007
  3.995499719E+003,   1.600450028E+004,   7.746832678E-002,   5.274765463E-008,   6.189517548E-007,   5.527173715E-008,   6.485731779E-007,   0.000000000E+000,   7.038449151E-007
  3.994999687E+003,   1.600500031E+004,   7.746590650E-002,   5.295184134E-008,   6.195353375E-007,   5.548586216E-008,   6.491847557E-007,   0.000000000E+000,   7.046706179E-007
  3.994499656E+003,   1.600550034E+004,   7.746348637E-002,   5.315678207E-008,   6.201195505E-007,   5.570009812E-008,   6.497966242E-007,   0.000000000E+000,   7.054967223E-007
  3.993999625E+003,   1.600600038E+004,   7.746106640E-002,   5.336247945E-008,   6.207043945E-007,   5.591515763E-008,   6.504091089E-007,   0.000000000E+000,   7.063242665E-007
  3.993499594E+003,   1.600650041E+004,   7.745864657E-002,   5.356893614E-008,   6.212898703E-007,   5.613232906E-008,   6.510231740E-007,   0.000000000E+000,   7.071555031E-007
  3.992999562E+003,   1.600700044E+004,   7.745622689E-002,   5.377615478E-008,   6.218759786E-007,   5.634956264E-008,   6.516373673E-007,   0.000000000E+000,   7.079869299E-007
  3.992499531E+003,   1.600750047E+004,   7.745380737E-002,   5.398413804E-008,   6.224627202E-007,   5.656692397E-008,   6.522518240E-007,   0.000000000E+000,   7.088187480E-007
  3.991999500E+003,   1.600800050E+004,   7.745138800E-002,   5.419288860E-008,   6.230500959E-007,   5.678538245E-008,   6.528671034E-007,   0.000000000E+000,   7.096524859E-007
  3.991499469E+003,   1.600850053E+004,   7.744896878E-002,   5.440240913E-008,   6.236381064E-007,   5.700567682E-008,   6.534837596E-007,   0.000000000E+000,   7.104894364E-007
  3.990999437E+003,   1.600900056E+004,   7.744654970E-002,   5.461270231E-008,   6.242267525E-007,   5.722607011E-008,   6.541005843E-007,   0.000000000E+000,   7.113266544E-007
  3.990499406E+003,   1.600950059E+004,   7.744413079E-002,   5.482377086E-008,   6.248160350E-007,   5.744659952E-008,   6.547176411E-007,   0.000000000E+000,   7.121642406E-007
  3.989999375E+003,   1.601000063E+004,   7.744171202E-002,   5.503561748E-008,   6.254059547E-007,   5.766849933E-008,   6.553357281E-007,   0.000000000E+000,   7.130042274E-007
  3.989499344E+003,   1.601050066E+004,   7.743929340E-002,   5.524824488E-008,   6.259965123E-007,   5.789195954E-008,   6.559549881E-007,   0.000000000E+000,   7.138469477E-007
  3.988999312E+003,   1.601100069E+004,   7.743687493E-002,   5.546165579E-008,   6.265877085E-007,   5.811556407E-008,   6.565744589E-007,   0.000000000E+000,   7.146900229E-007
  3.988499281E+003,   1.601150072E+004,   7.743445662E-002,   5.567585294E-008,   6.271795442E-007,   5.833930488E-008,   6.571941285E-007,   0.000000000E+000,   7.155334334E-007
  3.987999250E+003,   1.601200075E+004,   7.743203845E-002,   5.589083907E-008,   6.277720202E-007,   5.856468897E-008,   6.578150362E-007,   0.000000000E+000,   7.163797252E-007
  3.987499219E+003,   1.601250078E+004,   7.742962044E-002,   5.610661694E-008,   6.283651372E-007,   5.879135843E-008,   6.584369122E-007,   0.000000000E+000,   7.172282707E-007
  3.986999187E+003,   1.601300081E+004,   7.742720258E-002,   5.632318931E-008,   6.289588960E-007,   5.901822657E-008,   6.590590442E-007,   0.000000000E+000,   7.180772708E-007
  3.986499156E+003,   1.601350084E+004,   7.742478487E-002,   5.654055894E-008,   6.295532973E-007,   5.924522287E-008,   6.596813414E-007,   0.000000000E+000,   7.189265643E-007
  3.985999125E+003,   1.601400088E+004,   7.742236731E-002,   5.675872862E-008,   6.301483420E-007,   5.947413467E-008,   6.603050819E-007,   0.000000000E+000,   7.197792166E-007
  3.985499094E+003,   1.601450091E+004,   7.741994990E-002,   5.697770113E-008,   6.307440308E-007,   5.970405709E-008,   6.609295840E-007,   0.000000000E+000,   7.206336410E-007
  3.984999062E+003,   1.601500094E+004,   7.741753264E-002,   5.719747927E-008,   6.313403646E-007,   5.993424148E-008,   6.615543895E-007,   0.000000000E+000,   7.214886310E-007
  3.984499031E+003,   1.601550097E+004,   7.741511553E-002,   5.741806585E-008,   6.319373440E-007,   6.016453741E-008,   6.621793243E-007,   0.000000000E+000,   7.223438618E-007
  3.983999000E+003,   1.601600100E+004,   7.741269857E-002,   5.763946368E-008,   6.325349700E-007,   6.039702105E-008,   6.628059107E-007,   0.000000000E+000,   7.232029318E-007
  3.983498969E+003,   1.601650103E+004,   7.741028177E-002,   5.786167558E-008,   6.331332432E-007,   6.063024118E-008,   6.634330531E-007,   0.000000000E+000,   7.240632943E-007
  3.982998937E+003,   1.601700106E+004,   7.740786511E-002,   5.808470439E-008,   6.337321644E-007,   6.086379534E-008,   6.640605454E-007,   0.000000000E+000,   7.249243407E-007
  3.982498906E+003,   1.601750109E+004,   7.740544861E-002,   5.830855296E-008,   6.343317345E-007,   6.109743569E-008,   6.646881279E-007,   0.000000000E+000,   7.257855635E-007
  3.981998875E+003,   1.601800113E+004,   7.740303226E-002,   5.853322413E-008,   6.349319542E-007,   6.133353603E-008,   6.653175751E-007,   0.000000000E+000,   7.266511111E-007
  3.981498844E+003,   1.601850116E+004,   7.740061606E-002,   5.875872076E-008,   6.355328243E-007,   6.157009918E-008,   6.659473731E-007,   0.000000000E+000,   7.275174723E-007
  3.980998812E+003,   1.601900119E+004,   7.739820000E-002,   5.898504573E-008,   6.361343456E-007,   6.180707752E-008,   6.665775686E-007,   0.000000000E+000,   7.283846461E-007
  3.980498781E+003,   1.601950122E+004,   7.739578410E-002,   5.921220192E-008,   6.367365189E-007,   6.204410801E-008,   6.672078139E-007,   0.000000000E+000,   7.292519219E-007
